no2
4.603128
12.892496
8.158180
32.881129
16.262125
12.113482
26.367474
13.542522
8.184353
8.051315
28.182843
21.640350
15.517181
16.125882
10.177709
1.807270
0.224871
2.815511
24.595616
6.230162
5.381640
6.154076
4.852852
17.926175
17.922357
22.226345
17.913721
21.332371
3.251213
17.696677
15.872562
18.319593
11.838268
20.629717
2.608015
20.253034
17.873620
17.785014
6.297509
21.228147
10.973338
15.248933
10.965965
11.150441
3.998560
14.768281
29.296595
4.564195
16.213764
24.155347
12.107316
20.591765
8.416653
2.365246
22.651084
16.197537
13.634290
20.983638
17.126131
0.695874
2.160268
24.959369
2.881659
19.879664
4.129584
11.384802
13.533499
7.147251
1.204731
9.393237
20.076128
28.083523
3.306142
4.766312
3.322320
26.109998
3.549606
13.963093
6.245690
14.367788
5.417090
16.219844
13.027889
28.869808
9.235815
4.584569
4.117677
4.291290
9.012427
6.193904
17.266299
7.595020
12.884286
10.895096
2.832022
9.465954
9.463579
19.284230
16.026369
20.759880
2.393962
25.510927
22.321275
2.248947
11.604074
9.662282
4.477475
19.201113
21.390258
5.038701
14.008346
29.477702
23.408778
22.255345
14.180249
21.739846
14.790025
12.747164
28.697656
14.505728
20.816700
12.657455
5.581111
3.317535
32.393577
23.384731
16.970338
23.275868
21.253357
18.579433
3.027498
6.258690
21.481762
27.873390
23.099722
11.617751
0.608626
2.787970
24.616617
19.477807
2.842930
16.484534
15.800587
24.533835
12.192184
10.153056
13.437215
3.598287
6.151068
7.084503
15.890709
15.144054
16.511961
27.981154
5.325657
30.423751
15.544935
19.380139
14.846850
5.878387
18.325572
9.196123
5.643324
25.597951
21.678030
2.889596
13.190337
13.721277
17.184927
16.852588
24.842616
18.510584
20.792783
26.600872
18.211799
11.385233
13.797444
14.680558
28.280624
6.479493
2.803268
20.241692
16.606886
2.453614
24.487468
14.291526
24.104348
16.615929
2.897389
16.098643
11.587981
9.432356
27.357763
6.053642
12.203312
5.462298
3.341996
10.800296
34.574854
22.042438
7.230943
28.521517
24.892602
18.740289
20.235363
5.109422
32.326592
14.166667
21.401896
2.309398
2.911291
6.639910
20.422272
7.023343
11.254669
17.259065
20.338122
12.381804
3.281516
10.781912
25.876665
11.802814
2.312653
1.839376
6.183142
19.447196
10.732437
5.083320
